,brand,model,top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
234,Mercedes-Benz,EQE SUV 500 4MATIC,0.42500000000000004,0.7724922440537745,0.6355555555555555,0.29885057471264365,0.5818181818181818,0.15976331360946744,0.4444444444444445,CCS,0.7200000000000001,0.2637598284488921,0.4285714285714285,AWD,JE - Executive,0.5432692307692308,0.7021276595744679,0.541856925418569,SUV
235,Mercedes-Benz,EQE SUV AMG 43 4MATIC,0.42500000000000004,0.71664943123061,0.6355555555555555,0.4022988505747126,0.5272727272727272,0.12426035502958577,0.4444444444444445,CCS,0.7200000000000001,0.2637598284488921,0.4285714285714285,AWD,JE - Executive,0.5502622377622379,0.7021276595744679,0.5220700152207001,SUV
236,Mercedes-Benz,EQE SUV AMG 53 4MATIC+,0.575,0.71664943123061,0.7407407407407407,0.5095785440613027,0.5181818181818182,0.0769230769230769,0.4444444444444445,CCS,0.7200000000000001,0.2637598284488921,0.4285714285714285,AWD,JE - Executive,0.5502622377622379,0.7021276595744679,0.5220700152207001,SUV
237,Mercedes-Benz,EQS 350,0.42500000000000004,0.7724922440537745,0.4185185185185185,0.2145593869731801,0.7909090909090909,0.2662721893491124,0.40079365079365076,CCS,0.3,0.3352394567548249,0.4285714285714285,RWD,F - Luxury,0.7006118881118883,0.6723404255319148,0.27853881278538806,Sedan
238,Mercedes-Benz,EQS 450 4MATIC,0.42500000000000004,1.0,0.5925925925925926,0.27203065134099613,0.9454545454545454,0.20710059171597628,0.5198412698412698,CCS,0.68,0.3352394567548249,0.4285714285714285,AWD,F - Luxury,0.7006118881118883,0.6723404255319148,0.28767123287671215,Sedan
239,Mercedes-Benz,EQS 450+,0.42500000000000004,1.0,0.4207407407407407,0.24521072796934862,0.9999999999999999,0.2366863905325443,0.5198412698412698,CCS,0.3,0.3352394567548249,0.4285714285714285,RWD,F - Luxury,0.7006118881118883,0.6723404255319148,0.28767123287671215,Sedan
240,Mercedes-Benz,EQS 500 4MATIC,0.42500000000000004,1.0,0.6133333333333333,0.27203065134099613,0.9181818181818181,0.15976331360946744,0.5198412698412698,CCS,0.68,0.3352394567548249,0.4285714285714285,AWD,F - Luxury,0.7006118881118883,0.6723404255319148,0.28767123287671215,Sedan
241,Mercedes-Benz,EQS 580 4MATIC,0.42500000000000004,1.0,0.6355555555555555,0.27203065134099613,0.9181818181818181,0.1301775147928994,0.5198412698412698,CCS,0.68,0.3352394567548249,0.4285714285714285,AWD,F - Luxury,0.7006118881118883,0.6723404255319148,0.28767123287671215,Sedan
242,Mercedes-Benz,EQS AMG 53 4MATIC+,0.625,1.0,0.7555555555555555,0.4329501915708812,0.8181818181818182,0.07100591715976329,0.5198412698412698,CCS,0.68,0.3352394567548249,0.4285714285714285,AWD,F - Luxury,0.7006118881118883,0.6723404255319148,0.28767123287671215,Sedan
243,Mercedes-Benz,EQS SUV 450 4MATIC,0.42500000000000004,1.0,0.5925925925925926,0.3448275862068966,0.7181818181818181,0.23076923076923067,0.5198412698412698,CCS,0.7200000000000001,0.3531093638313081,0.7142857142857143,AWD,JF - Luxury,0.6577797202797204,0.7425531914893613,0.5920852359208522,SUV
244,Mercedes-Benz,EQS SUV 450+,0.42500000000000004,1.0,0.4207407407407407,0.32950191570881227,0.7363636363636363,0.272189349112426,0.5198412698412698,CCS,0.3,0.3531093638313081,0.7142857142857143,RWD,JF - Luxury,0.6577797202797204,0.7425531914893613,0.5920852359208522,SUV
245,Mercedes-Benz,EQS SUV 500 4MATIC,0.42500000000000004,1.0,0.6133333333333333,0.3448275862068966,0.7181818181818181,0.18343195266272183,0.5198412698412698,CCS,0.7200000000000001,0.3531093638313081,0.7142857142857143,AWD,JF - Luxury,0.6577797202797204,0.7425531914893613,0.5920852359208522,SUV
246,Mercedes-Benz,EQS SUV 580 4MATIC,0.42500000000000004,1.0,0.6355555555555555,0.3448275862068966,0.7181818181818181,0.14792899408284022,0.5198412698412698,CCS,0.7200000000000001,0.3566833452466047,0.7142857142857143,AWD,JF - Luxury,0.6577797202797204,0.7425531914893613,0.5920852359208522,SUV
247,Mercedes-Benz,EQS SUV Maybach 680,0.42500000000000004,1.0,0.7037037037037037,0.3908045977011494,0.6454545454545454,0.1301775147928994,0.5198412698412698,CCS,0.7200000000000001,0.20657612580414583,0.2857142857142857,AWD,JF - Luxury,0.6577797202797204,0.7425531914893613,0.602739726027397,SUV
248,Mercedes-Benz,EQT 200 Long,0.03500000000000003,0.2450879007238883,0.18148148148148147,0.26053639846743293,0.15454545454545457,0.6568047337278106,0.08333333333333333,CCS,0.6,0.48391708363116515,0.7142857142857143,FWD,N - Passenger Van,0.5690559440559442,0.5297872340425531,0.7336377473363775,Small Passenger Van
249,Mercedes-Benz,EQT 200 Standard,0.03500000000000003,0.2450879007238883,0.18148148148148147,0.2222222222222222,0.16363636363636366,0.6153846153846152,0.08333333333333333,CCS,0.6,0.2859185132237313,0.4285714285714285,FWD,N - Passenger Van,0.38374125874125875,0.5297872340425531,0.7458143074581431,Small Passenger Van
250,Mercedes-Benz,EQV 250 Extra-Long,0.17500000000000004,0.4002068252326783,0.27037037037037037,0.6628352490421456,0.13636363636363638,0.5798816568047336,0.12301587301587301,CCS,0.0,0.8999285203716941,0.7142857142857143,FWD,N - Passenger Van,0.76486013986014,0.676595744680851,0.8858447488584473,Small Passenger Van
251,Mercedes-Benz,EQV 250 Long,0.17500000000000004,0.4002068252326783,0.27037037037037037,0.6628352490421456,0.14545454545454548,0.5798816568047336,0.12301587301587301,CCS,0.0,0.6283059328091495,0.7142857142857143,FWD,N - Passenger Van,0.6643356643356646,0.676595744680851,0.8843226788432266,Small Passenger Van
252,Mercedes-Benz,EQV 300 Extra-Long,0.07500000000000007,0.7104446742502586,0.27037037037037037,0.5363984674329502,0.32727272727272727,0.5917159763313607,0.26587301587301587,CCS,0.0,0.8999285203716941,0.7142857142857143,FWD,N - Passenger Van,0.76486013986014,0.676595744680851,0.8706240487062402,Small Passenger Van
253,Mercedes-Benz,EQV 300 Long,0.17500000000000004,0.7104446742502586,0.27037037037037037,0.6398467432950192,0.3363636363636363,0.5857988165680472,0.26587301587301587,CCS,0.0,0.6283059328091495,0.7142857142857143,FWD,N - Passenger Van,0.6643356643356646,0.676595744680851,0.8706240487062402,Small Passenger Van
254,Mercedes-Benz,G 580,0.275,0.9793174767321613,0.8622222222222222,0.6053639846743295,0.40909090909090906,0.14792899408284022,0.4801587301587302,CCS,0.0,0.28877769835596856,0.4285714285714285,AWD,JF - Luxury,0.43881118881118875,0.682978723404255,1.0,SUV
255,Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,0.17500000000000004,0.4002068252326783,0.26666666666666666,0.5555555555555556,0.14545454545454548,0.5798816568047336,0.12301587301587301,CCS,0.0,0.8856325947105076,0.8571428571428571,FWD,N - Passenger Van,0.76486013986014,0.676595744680851,0.8538812785388128,Small Passenger Van
256,Mercedes-Benz,eVito Tourer Long 60 kWh,0.17500000000000004,0.4002068252326783,0.26666666666666666,0.5747126436781609,0.15454545454545457,0.5798816568047336,0.12301587301587301,CCS,0.0,0.5997140814867763,0.8571428571428571,FWD,N - Passenger Van,0.6643356643356646,0.676595744680851,0.8538812785388128,Small Passenger Van
257,Mercedes-Benz,eVito Tourer Long 90 kWh,0.17500000000000004,0.7104446742502586,0.26666666666666666,0.578544061302682,0.34545454545454546,0.5857988165680472,0.26587301587301587,CCS,0.0,0.5997140814867763,0.8571428571428571,FWD,N - Passenger Van,0.6643356643356646,0.676595744680851,0.8538812785388128,Small Passenger Van
258,Mini,Aceman E,0.17500000000000004,0.17786970010341258,0.2148148148148148,0.07662835249042144,0.1727272727272727,0.3372781065088757,0.12301587301587301,CCS,0.3,0.1065046461758399,0.4285714285714285,FWD,JB - Compact,0.20061188811188813,0.30638297872340425,0.28158295281582957,SUV
259,Mini,Aceman JCW,0.375,0.28852119958634953,0.25925925925925924,0.13026819923371646,0.26363636363636356,0.24852071005917153,0.18253968253968256,CCS,0.3,0.1065046461758399,0.4285714285714285,FWD,JB - Compact,0.20061188811188813,0.30638297872340425,0.28158295281582957,SUV
260,Mini,Aceman SE,0.22499999999999998,0.28852119958634953,0.24444444444444444,0.07662835249042144,0.28181818181818175,0.2899408284023668,0.18253968253968256,CCS,0.3,0.1065046461758399,0.4285714285714285,FWD,JB - Compact,0.20061188811188813,0.30638297872340425,0.28158295281582957,SUV
261,Mini,Cooper E,0.17500000000000004,0.15822130299896586,0.2148148148148148,0.06130268199233718,0.20909090909090908,0.301775147928994,0.12301587301587301,CCS,0.0,0.03502501786990708,0.2857142857142857,FWD,B - Compact,0.10402097902097918,0.3106382978723401,0.19939117199391188,Hatchback
262,Mini,Cooper JCW,0.375,0.28852119958634953,0.25925925925925924,0.09961685823754785,0.28181818181818175,0.2189349112426035,0.18253968253968256,CCS,0.0,0.03502501786990708,0.2857142857142857,FWD,B - Compact,0.10402097902097918,0.3106382978723401,0.19939117199391188,Hatchback
263,Mini,Cooper SE,0.22499999999999998,0.28852119958634953,0.24444444444444444,0.06896551724137934,0.3545454545454545,0.2662721893491124,0.18253968253968256,CCS,0.0,0.03502501786990708,0.2857142857142857,FWD,B - Compact,0.10402097902097918,0.3106382978723401,0.19939117199391188,Hatchback
264,Mini,Countryman E,0.22499999999999998,0.4477766287487072,0.18518518518518517,0.11877394636015326,0.44545454545454544,0.37869822485207094,0.25793650793650796,CCS,0.3,0.22087205146533237,0.4285714285714285,FWD,JC - Medium,0.3553321678321679,0.4957446808510637,0.49771689497716887,SUV
265,Mini,Countryman SE ALL4,0.275,0.4477766287487072,0.36592592592592593,0.15325670498084287,0.4181818181818182,0.20118343195266264,0.25793650793650796,CCS,0.48000000000000004,0.22087205146533237,0.4285714285714285,AWD,JC - Medium,0.3553321678321679,0.4957446808510637,0.49771689497716887,SUV
266,NIO,EL6 Long Range,0.375,0.7104446742502586,0.5185185185185185,0.23371647509578541,0.5454545454545454,0.136094674556213,0.42063492063492064,CCS,0.48000000000000004,0.30593280914939247,0.4285714285714285,AWD,JE - Executive,0.5393356643356646,0.8191489361702127,0.5692541856925417,SUV
